City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Caravelas,BR,80.49,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
390,Ushtobe,KZ,74.46,broken clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
392,Korla,CN,83.5,scattered clouds,41.7597,86.1469,Gulisitan Hotel
393,Russell,US,84.99,clear sky,32.3502,-85.1999,Macs
396,Mindelo,CV,80.15,scattered clouds,16.8901,-24.9804,Hotel Gaudi
398,Pierre,US,81.52,clear sky,44.3683,-100.351,Ramkota Hotel
408,Kulhudhuffushi,MV,82.92,overcast clouds,6.6221,73.07,Haajy Guest House 1
409,Kananga,CD,77.97,overcast clouds,-5.8958,22.4178,Guest House Wood Land
410,Stephenville,US,73.94,overcast clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
411,Lexington Park,US,82.06,overcast clouds,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
415,Santa Maria,BR,72.7,clear sky,-29.6842,-53.8069,Hotel Morotin
416,Lorengau,PG,79.2,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
419,Merauke,ID,75.45,overcast clouds,-8.4667,140.3333,
424,Wenatchee,US,84.42,clear sky,47.4235,-120.3103,SpringHill Suites by Marriott Wenatchee
425,Ilebo,CD,81.39,few clouds,-4.3167,20.5833,Hôtel BUMAK
430,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
434,Kilis,TR,75.43,clear sky,36.7161,37.115,Kilis Konağı Butik Otel
436,Alugan,PH,79.5,overcast clouds,12.2188,125.4808,JM Lodge
437,Acari,PE,74.68,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
439,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
440,Vaasa,FI,71.62,clear sky,63.096,21.6158,Hotel Astor
442,Cap Malheureux,MU,75.69,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
447,Rorvik,NO,76.98,clear sky,64.8621,11.2373,Kysthotellet Rørvik AS
452,Jaque,PA,82.26,moderate rain,7.5175,-78.1703,Imbu Bua Lodge
455,Pangkalanbuun,ID,74.48,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
457,Decatur,US,81.32,clear sky,39.8403,-88.9548,Haworth Cottage
462,Scottsbluff,US,79.79,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
