City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Praya,CV,14.9215,-23.5087,81.14,57,40,21.85,scattered clouds
209,Tiksi,RU,71.6872,128.8694,34.81,86,100,5.1,overcast clouds
210,Dunedin,NZ,-45.8742,170.5036,49.8,75,95,7.0,overcast clouds
211,Kuybysheve,UA,47.358,36.6491,58.57,83,100,6.13,overcast clouds
212,Galle,LK,6.0367,80.217,80.08,85,75,11.99,broken clouds
213,Labuhan,ID,-6.8844,112.2051,79.66,87,89,10.96,overcast clouds
214,Hami,CN,42.8,93.45,83.61,10,0,6.35,clear sky
215,Kisangani,CD,0.5167,25.2,73.65,89,73,2.35,broken clouds
216,Mabaruma,GY,8.2,-59.7833,73.98,100,100,1.03,overcast clouds
217,Talara,PE,-4.5772,-81.2719,77.76,61,0,14.97,clear sky
218,Roma,US,43.2128,-75.4557,73.94,84,90,9.22,overcast clouds
219,Kroya,ID,-7.6331,109.2461,78.19,89,100,4.99,overcast clouds
220,Goderich,CA,43.7501,-81.7165,69.03,94,98,6.91,overcast clouds
221,Westport,US,41.1415,-73.3579,69.03,94,100,5.01,overcast clouds
222,Paredon,MX,16.0333,-93.8667,86.36,61,90,3.62,overcast clouds
223,Dhidhdhoo,MV,6.8833,73.1,83.08,76,100,16.58,overcast clouds
224,Beri,IN,25.9031,79.8902,95.88,30,59,11.32,broken clouds
225,Saint-Philippe,RE,-21.3585,55.7679,74.79,76,36,14.52,scattered clouds
226,Gaillac,FR,43.9016,1.8969,77.45,61,65,7.78,broken clouds
227,Amarpur,IN,25.0333,86.9,92.48,39,13,5.59,few clouds
228,Saint-Joseph,RE,-21.3667,55.6167,73.78,75,27,14.27,scattered clouds
229,Mocuba,MZ,-16.8392,36.9856,68.13,97,86,2.55,moderate rain
230,Kieta,PG,-6.2167,155.6333,78.48,84,74,4.32,light rain
231,Sambava,MG,-14.2667,50.1667,74.84,84,10,8.99,light rain
232,Mahebourg,MU,-20.4081,57.7,75.49,69,40,12.66,light rain
233,Homer,US,59.6425,-151.5483,50.07,88,90,3.44,overcast clouds
234,Smithers,CA,54.7804,-127.1743,57.52,54,20,5.75,few clouds
235,Palu,ID,-0.8917,119.8707,75.47,92,89,3.06,overcast clouds
236,Pasighat,IN,28.0667,95.3333,75.43,92,91,3.67,overcast clouds
237,Lompoc,US,34.6391,-120.4579,65.93,86,90,1.01,overcast clouds
238,Marsa Matruh,EG,31.3525,27.2453,73.6,60,40,11.5,scattered clouds
239,Aripuana,BR,-9.1667,-60.6333,92.91,30,5,3.91,clear sky
240,Sinop,TR,41.7711,34.8709,52.95,81,55,4.12,broken clouds
241,Ngunguru,NZ,-35.6167,174.5,53.17,81,94,5.73,overcast clouds
242,Omboue,GA,-1.5746,9.2618,78.39,84,67,8.59,broken clouds
243,Bilma,NE,18.6853,12.9164,105.48,8,85,7.29,overcast clouds
244,Mehamn,NO,71.0357,27.8492,69.75,32,0,11.5,clear sky
245,Karratha,AU,-20.7377,116.8463,68.04,49,100,9.15,overcast clouds
246,Lasa,IT,46.6166,10.7002,73.31,80,76,1.79,broken clouds
247,Seoul,KR,37.5683,126.9778,58.6,88,90,3.53,overcast clouds
248,Zaysan,KZ,47.4667,84.8667,72.68,42,60,9.31,broken clouds
